,California,Daily CA,7-day CA,Texas,Daily TX,7-day TX,Florida,Daily FL,7-day FL,New York,Daily NY,7-day NY,Pennsylvania,Daily PA,7-day PA
5/19/20,83764.0,2246.0,1826.2799999999988,50552.0,1375.0,1269.1399999999994,46944.0,502.0,717.2799999999988,352845.0,1474.0,2051.429999999993,67311.0,642.0,857.2799999999988
5/20/20,86018.0,2254.0,1888.570000000007,51859.0,1307.0,1262.7200000000012,47471.0,527.0,724.1500000000015,354370.0,1525.0,1958.429999999993,68126.0,815.0,860.7199999999939
5/21/20,88056.0,2038.0,1883.5799999999872,53053.0,1194.0,1224.7099999999991,48675.0,1204.0,780.7099999999991,356458.0,2088.0,1915.280000000028,69252.0,1126.0,878.140000000014
5/22/20,90281.0,2225.0,1941.1399999999994,53539.0,486.0,1116.8600000000006,49451.0,776.0,759.0,358154.0,1696.0,1763.0,70211.0,959.0,867.859999999986
5/23/20,92564.0,2283.0,1977.0,54776.0,1237.0,1046.2799999999988,50127.0,676.0,759.4300000000003,359926.0,1772.0,1670.579999999958,71009.0,798.0,832.0
5/24/20,94069.0,1505.0,1986.140000000014,55861.0,1085.0,1066.4300000000003,50867.0,740.0,754.1399999999994,361515.0,1589.0,1627.710000000021,71563.0,554.0,837.570000000007
5/25/20,96470.0,2401.0,2136.0,56409.0,548.0,1033.1500000000015,51746.0,879.0,757.7200000000012,362764.0,1249.0,1627.570000000007,71925.0,362.0,750.8600000000006
5/26/20,99492.0,3022.0,2246.859999999986,57230.0,821.0,954.0,52255.0,509.0,758.7099999999991,363836.0,1072.0,1570.140000000014,72778.0,853.0,781.0
5/27/20,101071.0,1579.0,2150.4300000000076,58542.0,1312.0,954.7099999999991,52634.0,379.0,737.5699999999997,364965.0,1129.0,1513.579999999958,73557.0,779.0,775.8500000000058
5/28/20,103813.0,2742.0,2251.0,60395.0,1853.0,1048.8600000000006,53285.0,651.0,658.5699999999997,366733.0,1768.0,1467.850000000035,74220.0,663.0,709.7199999999866
5/29/20,106638.0,2825.0,2336.7100000000064,60901.0,506.0,1051.7099999999991,54497.0,1212.0,720.8600000000006,368284.0,1551.0,1447.149999999965,74984.0,764.0,681.8600000000006
5/30/20,109895.0,3257.0,2475.859999999986,62894.0,1993.0,1159.7200000000012,55424.0,927.0,756.7200000000012,369660.0,1376.0,1390.570000000007,75697.0,713.0,669.7100000000064
5/31/20,111951.0,2056.0,2554.570000000007,64652.0,1758.0,1255.8499999999985,56163.0,739.0,756.5699999999997,370770.0,1110.0,1322.140000000014,76129.0,432.0,652.2899999999936
6/1/20,114733.0,2782.0,2609.0,65593.0,941.0,1312.0,56830.0,667.0,726.2799999999988,371711.0,941.0,1278.140000000014,76646.0,517.0,674.4200000000128
6/2/20,117215.0,2482.0,2531.8600000000006,67310.0,1717.0,1440.0,57447.0,617.0,741.7200000000012,373040.0,1329.0,1314.859999999986,77225.0,579.0,635.2899999999936
6/3/20,119374.0,2159.0,2614.7100000000064,68877.0,1567.0,1476.4300000000003,58764.0,1317.0,875.7099999999991,374085.0,1045.0,1302.859999999986,77780.0,555.0,603.2899999999936
6/4/20,122194.0,2820.0,2625.859999999986,70555.0,1678.0,1451.4300000000003,60183.0,1419.0,985.4300000000003,375133.0,1048.0,1200.0,78335.0,555.0,587.8500000000058
6/5/20,125783.0,3589.0,2735.0,72548.0,1993.0,1663.8600000000006,61488.0,1305.0,998.7099999999991,376208.0,1075.0,1132.0,78815.0,480.0,547.2899999999936
6/6/20,128606.0,2823.0,2673.0,74470.0,1922.0,1653.7100000000064,62758.0,1270.0,1047.7200000000012,377316.0,1108.0,1093.710000000021,79505.0,690.0,544.0
6/7/20,130657.0,2051.0,2672.2800000000134,75408.0,938.0,1536.5699999999924,63938.0,1180.0,1110.7099999999991,378097.0,781.0,1046.719999999972,79908.0,403.0,539.8600000000006
6/8/20,133816.0,3159.0,2726.149999999994,76463.0,1055.0,1552.8600000000006,64904.0,966.0,1153.4300000000003,378799.0,702.0,1012.570000000007,80339.0,431.0,527.570000000007
6/9/20,136681.0,2865.0,2780.850000000006,78208.0,1745.0,1556.8600000000006,66000.0,1096.0,1221.8600000000006,379482.0,683.0,920.2800000000279,80870.0,531.0,520.7100000000064
6/10/20,139715.0,3034.0,2905.8600000000006,80777.0,2569.0,1700.0,67371.0,1371.0,1229.5699999999997,380156.0,674.0,867.289999999979,81316.0,446.0,505.1399999999994
6/11/20,143439.0,3724.0,3035.0,82658.0,1881.0,1729.0,69069.0,1698.0,1269.4300000000003,380892.0,736.0,822.710000000021,81848.0,532.0,501.8600000000006
6/12/20,146659.0,3220.0,2982.289999999979,84927.0,2269.0,1768.429999999993,70971.0,1902.0,1354.7099999999991,381714.0,822.0,786.570000000007,82481.0,633.0,523.7199999999866
6/13/20,150034.0,3375.0,3061.140000000014,86915.0,1988.0,1777.8500000000058,73552.0,2581.0,1542.0,382630.0,916.0,759.1499999999651,82944.0,463.0,491.2800000000134
6/14/20,152349.0,2315.0,3098.859999999986,88523.0,1608.0,1873.570000000007,75568.0,2016.0,1661.4300000000076,383324.0,694.0,746.710000000021,83203.0,259.0,470.7199999999866
6/15/20,155726.0,3377.0,3130.0,90211.0,1688.0,1964.0,77326.0,1758.0,1774.5699999999924,383944.0,620.0,735.0,83589.0,386.0,464.2800000000134
6/16/20,158961.0,3235.0,3182.850000000006,93569.0,3358.0,2194.429999999993,80109.0,2783.0,2015.570000000007,384575.0,631.0,727.570000000007,83978.0,389.0,444.0
6/17/20,162798.0,3837.0,3297.5800000000163,97699.0,4130.0,2417.4300000000076,82719.0,2610.0,2192.579999999987,385142.0,567.0,712.289999999979,84289.0,311.0,424.7199999999866
6/18/20,167133.0,4335.0,3384.850000000006,101259.0,3560.0,2657.2899999999936,85926.0,3207.0,2408.1399999999994,385760.0,618.0,695.429999999993,84683.0,394.0,405.0
6/19/20,170862.0,3729.0,3457.569999999978,105394.0,4135.0,2923.850000000006,89748.0,3822.0,2682.4300000000076,386556.0,796.0,691.710000000021,85199.0,516.0,388.2800000000134
6/20/20,175243.0,4381.0,3601.290000000008,109581.0,4187.0,3238.0,93797.0,4049.0,2892.1399999999994,387272.0,716.0,663.140000000014,85590.0,391.0,378.0
6/21/20,178657.0,3414.0,3758.290000000008,112944.0,3363.0,3488.7199999999866,97291.0,3494.0,3103.2899999999936,387936.0,664.0,658.859999999986,85935.0,345.0,390.2899999999936
6/22/20,184765.0,6108.0,4148.419999999984,117790.0,4846.0,3939.8600000000006,100217.0,2926.0,3270.1399999999994,388488.0,552.0,649.140000000014,86576.0,641.0,426.7100000000064
6/23/20,191477.0,6712.0,4645.149999999994,122932.0,5142.0,4194.710000000006,103503.0,3286.0,3342.0,389085.0,597.0,644.289999999979,87208.0,632.0,461.429999999993
6/24/20,196024.0,4547.0,4746.570000000007,128132.0,5200.0,4347.570000000007,109014.0,5511.0,3756.4300000000076,389666.0,581.0,646.289999999979,87685.0,477.0,485.1399999999994
6/25/20,201112.0,5088.0,4854.140000000014,134558.0,6426.0,4757.0,114018.0,5004.0,4013.1399999999994,390415.0,749.0,665.0,88141.0,456.0,494.0
6/26/20,206844.0,5732.0,5140.289999999979,140173.0,5615.0,4968.429999999993,122960.0,8942.0,4744.570000000007,391220.0,805.0,666.2800000000279,88860.0,719.0,523.0
6/27/20,210692.0,3848.0,5064.140000000014,145894.0,5721.0,5187.570000000007,132545.0,9585.0,5535.429999999993,391923.0,703.0,664.429999999993,89446.0,586.0,550.8600000000006
6/28/20,215487.0,4795.0,5261.429999999993,150722.0,4828.0,5396.859999999986,141075.0,8530.0,6254.860000000001,392539.0,616.0,657.570000000007,89863.0,417.0,561.1399999999994
6/29/20,223646.0,8159.0,5554.429999999993,156706.0,5984.0,5559.429999999993,146341.0,5266.0,6589.139999999999,392930.0,391.0,634.570000000007,90467.0,604.0,555.8600000000006
6/30/20,231418.0,7772.0,5705.850000000006,163060.0,6354.0,5732.570000000007,152434.0,6093.0,6990.140000000014,393454.0,524.0,624.1499999999651,91139.0,672.0,561.570000000007
7/1/20,238681.0,7263.0,6093.860000000015,172368.0,9308.0,6319.429999999993,158997.0,6563.0,7140.429999999993,394079.0,625.0,630.4200000000419,91775.0,636.0,584.2899999999936
7/2/20,246550.0,7869.0,6491.139999999985,179137.0,6769.0,6368.430000000022,169106.0,10109.0,7869.720000000001,394954.0,875.0,648.429999999993,92612.0,837.0,638.7100000000064
7/3/20,250514.0,3964.0,6238.580000000016,186799.0,7662.0,6660.850000000006,178594.0,9488.0,7947.709999999992,395872.0,918.0,664.570000000007,93392.0,780.0,647.429999999993
7/4/20,252895.0,2381.0,6029.0,193958.0,7159.0,6866.289999999979,190052.0,11458.0,8215.290000000008,396598.0,726.0,667.859999999986,93922.0,530.0,639.429999999993
7/5/20,264681.0,11786.0,7027.709999999992,197421.0,3463.0,6671.279999999999,200111.0,10059.0,8433.709999999992,397131.0,533.0,656.0,94403.0,481.0,648.570000000007
7/6/20,271035.0,6354.0,6769.859999999986,205642.0,8221.0,6990.860000000015,206447.0,6336.0,8586.570000000007,397649.0,518.0,674.140000000014,95100.0,697.0,661.8600000000006
7/7/20,284012.0,12977.0,7513.430000000022,216026.0,10384.0,7566.570000000007,213794.0,7347.0,8765.720000000001,398237.0,588.0,683.289999999979,95898.0,798.0,679.8500000000058
7/8/20,292560.0,8548.0,7696.999999999971,224929.0,8903.0,7508.719999999972,223783.0,9989.0,9255.139999999985,398929.0,692.0,692.859999999986,96725.0,827.0,707.1499999999942
7/9/20,302484.0,9924.0,7990.570000000007,236541.0,11612.0,8200.570000000007,232718.0,8935.0,9087.429999999993,399513.0,584.0,651.2800000000279,97542.0,817.0,704.2799999999988
7/10/20,310885.0,8401.0,8624.429999999993,245920.0,9379.0,8445.860000000015,244151.0,11433.0,9365.280000000028,400299.0,786.0,632.429999999993,98482.0,940.0,727.1499999999942
7/11/20,318761.0,7876.0,9409.420000000042,254415.0,8495.0,8636.709999999992,254511.0,10360.0,9208.429999999993,401029.0,730.0,633.0,99216.0,734.0,756.2800000000134
7/12/20,324543.0,5782.0,8551.719999999972,262762.0,8347.0,9334.429999999993,269811.0,15300.0,9957.139999999985,401706.0,677.0,653.570000000007,99794.0,578.0,770.1399999999994
7/13/20,333357.0,8814.0,8903.140000000014,269778.0,7016.0,9162.279999999999,282435.0,12624.0,10855.430000000022,402263.0,557.0,659.1499999999651,100330.0,536.0,747.1499999999942
7/14/20,346211.0,12854.0,8885.570000000007,279577.0,9799.0,9078.720000000001,291629.0,9194.0,11119.289999999979,403175.0,912.0,705.4200000000419,101266.0,936.0,766.8500000000058
7/15/20,354885.0,8674.0,8903.570000000007,290892.0,11315.0,9423.280000000028,301810.0,10181.0,11146.710000000021,404006.0,831.0,725.289999999979,102269.0,1003.0,792.0
7/16/20,364706.0,9821.0,8888.859999999986,305854.0,14962.0,9901.859999999986,315775.0,13965.0,11865.289999999979,404775.0,769.0,751.710000000021,103075.0,806.0,790.429999999993
7/17/20,373259.0,8553.0,8910.570000000007,317768.0,11914.0,10264.0,327241.0,11466.0,11870.0,405551.0,776.0,750.289999999979,104079.0,1004.0,799.570000000007
7/18/20,380745.0,7486.0,8854.859999999986,327106.0,9338.0,10384.429999999993,337569.0,10328.0,11865.429999999993,406305.0,754.0,753.710000000021,104780.0,701.0,794.8600000000006
7/19/20,386906.0,6161.0,8909.0,335257.0,8151.0,10356.429999999993,350047.0,12478.0,11462.280000000028,406807.0,502.0,728.7199999999721,105384.0,604.0,798.5699999999924
7/20/20,397870.0,10964.0,9216.140000000014,343783.0,8526.0,10572.140000000014,360394.0,10347.0,11137.0,407326.0,519.0,723.2800000000279,106405.0,1021.0,867.8600000000006
7/21/20,409305.0,11435.0,9013.429999999993,351071.0,7288.0,10213.429999999993,369834.0,9440.0,11172.149999999965,408181.0,855.0,715.1499999999651,107460.0,1055.0,884.8600000000006
7/22/20,421286.0,11981.0,9485.859999999986,363615.0,12544.0,10389.0,379619.0,9785.0,11115.570000000007,408886.0,705.0,697.140000000014,108223.0,763.0,850.5699999999924
7/23/20,430773.0,9487.0,9438.140000000014,373037.0,9422.0,9597.570000000007,389868.0,10249.0,10584.710000000021,409697.0,811.0,703.140000000014,109105.0,882.0,861.4300000000076
7/24/20,440185.0,9412.0,9560.859999999986,380364.0,7327.0,8942.289999999979,402312.0,12444.0,10724.429999999993,410450.0,753.0,699.859999999986,110292.0,1187.0,887.5699999999924
7/25/20,446452.0,6267.0,9386.710000000021,390286.0,9922.0,9025.710000000021,414511.0,12199.0,10991.710000000021,411200.0,750.0,699.289999999979,111115.0,823.0,905.0
7/26/20,452288.0,5836.0,9340.289999999979,394084.0,3798.0,8403.859999999986,423855.0,9344.0,10544.0,411736.0,536.0,704.140000000014,111745.0,630.0,908.7100000000064
7/27/20,458121.0,5833.0,8607.280000000028,400336.0,6252.0,8079.0,432747.0,8892.0,10336.149999999965,412344.0,608.0,716.859999999986,112995.0,1250.0,941.4300000000076
7/28/20,470762.0,12641.0,8779.579999999958,408493.0,8157.0,8203.140000000014,441977.0,9230.0,10306.140000000014,412878.0,534.0,671.0,114083.0,1088.0,946.1399999999994
7/29/20,484913.0,14151.0,9089.570000000007,418995.0,10502.0,7911.429999999993,451423.0,9446.0,10257.710000000021,413593.0,715.0,672.4200000000419,114939.0,856.0,959.429999999993
7/30/20,492934.0,8021.0,8880.140000000014,428229.0,9234.0,7884.570000000007,461379.0,9956.0,10215.859999999986,414370.0,777.0,667.5799999999581,115807.0,868.0,957.4300000000076
7/31/20,500556.0,7622.0,8624.429999999993,438293.0,10064.0,8275.570000000007,470386.0,9007.0,9724.859999999986,415014.0,644.0,652.0,116787.0,980.0,927.859999999986
8/1/20,506613.0,6057.0,8594.429999999993,444738.0,6445.0,7778.859999999986,480028.0,9642.0,9359.570000000007,415767.0,753.0,652.4200000000419,117468.0,681.0,907.570000000007
8/2/20,512175.0,5562.0,8555.280000000028,448145.0,3407.0,7723.0,487132.0,7104.0,9039.570000000007,416298.0,531.0,651.7199999999721,118033.0,565.0,898.2899999999936
8/3/20,516851.0,4676.0,8390.0,456624.0,8479.0,8041.140000000014,491884.0,4752.0,8448.140000000014,416843.0,545.0,642.710000000021,118894.0,861.0,842.7100000000064
8/4/20,526685.0,9834.0,7989.0,466032.0,9408.0,8219.859999999986,497330.0,5446.0,7907.579999999958,417589.0,746.0,673.0,119724.0,830.0,805.8600000000006
8/5/20,530606.0,3921.0,6527.570000000007,476999.0,10967.0,8286.289999999979,502739.0,5409.0,7330.850000000035,418225.0,636.0,661.7199999999721,120446.0,722.0,786.7100000000064
8/6/20,541339.0,10733.0,6915.0,483920.0,6921.0,7955.850000000035,510389.0,7650.0,7001.429999999993,418928.0,703.0,651.140000000014,121247.0,801.0,777.1399999999994
8/7/20,546814.0,5475.0,6608.289999999979,491304.0,7384.0,7573.0,518075.0,7686.0,6812.719999999972,419642.0,714.0,661.140000000014,122028.0,781.0,748.7199999999866
8/8/20,554388.0,7574.0,6825.0,497632.0,6328.0,7556.289999999979,526577.0,8502.0,6649.850000000035,420345.0,703.0,654.0,122665.0,637.0,742.4300000000076
8/9/20,559746.0,5358.0,6795.859999999986,503328.0,5696.0,7883.280000000028,532806.0,6229.0,6524.859999999986,420860.0,515.0,651.7199999999721,123312.0,647.0,754.1399999999994
8/10/20,574231.0,14485.0,8197.140000000014,509581.0,6253.0,7565.289999999979,536961.0,4155.0,6439.570000000007,421336.0,476.0,641.8500000000349,124221.0,909.0,761.0
8/11/20,578946.0,4715.0,7465.859999999986,517700.0,8119.0,7381.140000000014,542792.0,5831.0,6494.570000000007,422003.0,667.0,630.5799999999581,125016.0,795.0,756.0
8/12/20,591376.0,12430.0,8681.430000000051,523977.0,6277.0,6711.149999999965,550901.0,8109.0,6880.290000000037,422703.0,700.0,639.710000000021,125918.0,902.0,781.7100000000064
8/13/20,597984.0,6608.0,8092.140000000014,530857.0,6880.0,6705.280000000028,557137.0,6236.0,6678.2799999999115,423440.0,737.0,644.570000000007,126905.0,987.0,808.2899999999936
8/14/20,613101.0,15117.0,9469.569999999949,539673.0,8816.0,6909.859999999986,563285.0,6148.0,6458.5800000000745,424167.0,727.0,646.429999999993,127732.0,827.0,814.8600000000006
8/15/20,617994.0,4893.0,9086.569999999949,546552.0,6879.0,6988.570000000007,569637.0,6352.0,6151.4199999999255,424901.0,734.0,650.859999999986,128531.0,799.0,838.0
8/16/20,623873.0,5879.0,9161.0,555394.0,8842.0,7438.0,573416.0,3779.0,5801.430000000051,425508.0,607.0,664.0,129070.0,539.0,822.5699999999924
8/17/20,629415.0,5542.0,7883.430000000051,561110.0,5716.0,7361.290000000037,576094.0,2678.0,5590.429999999935,425916.0,408.0,654.2800000000279,129647.0,577.0,775.140000000014
